Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction
2023/06/11 11:09:33 PM GMT+5:30,65,Prefer not to say,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Rarely,Filter,First page,1,Maybe,Often,others,Often,Yes,Rarely,Sometimes,1,Sometimes,1,1,All the above,Add more familiar brands to the list,949456
2023/06/07 6:17:42 PM GMT+5:30,45,Male,Less than once a month,Clothing and Fashion,Sometimes,Multiple times a day,categories,First page,3,No,Sometimes,High shipping costs,Always,Yes,Moderately,Yes,5,Sometimes,2,4,User-friendly website/app interface,No problems with Amazon,255226
2023/06/09 3:25:33 PM GMT+5:30,31,Prefer not to say,Once a month,Beauty and Personal Care,No,Rarely,categories,Multiple pages,1,No,Sometimes,others,Sometimes,Yes,Moderately,No,1,No,3,4,.,Nil,257992
2023/06/12 2:43:30 PM GMT+5:30,14,Female,Multiple times a week,Beauty and Personal Care;Home and Kitchen,Yes,Few times a week,Filter,Multiple pages,3,No,Never,Found a better price elsewhere,Sometimes,No,Occasionally,Yes,5,Sometimes,2,5,All the above,Product quality and accuracy,252263
2023/06/08 5:33:01 PM GMT+5:30,36,Prefer not to say,Less than once a month,Beauty and Personal Care;others,No,Few times a month,nan,Multiple pages,2,Yes,Often,Changed my mind or no longer need the item,Rarely,No,Moderately,Sometimes,1,No,5,1,Wide product selection,Nothing,982763
2023/06/08 3:25:32 AM GMT+5:30,25,Prefer not to say,Once a week,Clothing and Fashion;Home and Kitchen;others,Yes,Rarely,nan,Multiple pages,2,Yes,Sometimes,Changed my mind or no longer need the item,Rarely,Yes,Moderately,Sometimes,3,Sometimes,5,1,Product recommendations,Customer service responsiveness,576284
2023/06/07 5:26:20 PM GMT+5:30,11,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Rarely,categories,First page,2,Maybe,Always,Changed my mind or no longer need the item,Often,No,Moderately,Sometimes,3,Sometimes,2,1,.,Irrelevant product suggestions,213164
2023/06/04 2:30:44 PM GMT+5:30,16,Others,Once a month,Beauty and Personal Care;others,Sometimes,Few times a week,Filter,First page,4,No,Often,others,Rarely,No,Rarely,No,5,No,4,3,Customer service ,UI,866905
2023/06/11 11:27:55 PM GMT+5:30,20,Prefer not to say,Once a month,Clothing and Fashion,No,Rarely,categories,Multiple pages,5,Maybe,Sometimes,others,Always,Yes,Rarely,No,3,No,4,3,Wide product selection,No problems with Amazon,693397
2023/06/06 7:10:55 PM GMT+5:30,34,Others,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,others,Multiple pages,2,Yes,Never,others,Rarely,Yes,Moderately,Yes,4,Sometimes,2,1,Quick delivery,UI,497924
2023/06/05 10:06:46 PM GMT+5:30,32,Male,Few times a month,Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a week,nan,First page,5,Maybe,Always,Found a better price elsewhere,Always,No,Rarely,Yes,1,Yes,2,3,All the above,User interface ,406976
2023/06/04 9:40:54 PM GMT+5:30,15,Prefer not to say,Once a week,Home and Kitchen,Yes,Multiple times a day,categories,Multiple pages,1,No,Always,others,Often,Yes,Heavily,Yes,3,Sometimes,4,5,Quick delivery,Add more familiar brands to the list,942527
2023/06/07 12:29:31 PM GMT+5:30,38,Others,Once a month,Beauty and Personal Care;others,Sometimes,Multiple times a day,Keyword,First page,5,No,Always,Found a better price elsewhere,Never,No,Moderately,No,5,No,5,5,Competitive prices,Nil,601011
2023/06/08 7:50:55 PM GMT+5:30,27,Others,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,categories,First page,2,No,Never,Changed my mind or no longer need the item,Sometimes,No,Never,Sometimes,1,Yes,2,4,Quick delivery,Scrolling option would be much better than going to next page,588102
2023/06/07 9:27:03 AM GMT+5:30,25,Male,Once a month,Clothing and Fashion;others,Yes,Few times a week,categories,First page,4,Maybe,Never,others,Always,No,Rarely,Yes,3,Yes,1,1,Customer service ,User interface of app,868505
2023/06/12 3:33:53 PM GMT+5:30,9,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Yes,Few times a month,nan,Multiple pages,1,No,Often,High shipping costs,Always,Yes,Heavily,Sometimes,2,No,4,3,Quick delivery,better app interface and lower shipping charges,661572
2023/06/07 1:49:06 PM GMT+5:30,14,Female,Once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Sometimes,Multiple times a day,Filter,Multiple pages,2,No,Rarely,others,Rarely,No,Heavily,Sometimes,5,No,1,2,User-friendly website/app interface,User interface of app,467153
